threads,size,time
1,400,0.000685
2,400,0.001053
3,400,0.001699
4,400,0.002849
1,4000,0.000905
2,4000,0.001106
3,4000,0.001172
4,4000,0.001305
1,40000,0.001410
2,40000,0.001315
3,40000,0.001216
4,40000,0.003031
1,400000,0.007534
2,400000,0.004315
3,400000,0.003302
4,400000,0.002828
1,4000000,0.066713
2,4000000,0.034189
3,4000000,0.023698
4,4000000,0.018330
1,40000000,0.647304
2,40000000,0.324614
3,40000000,0.217926
4,40000000,0.166554
1,400000000,6.449061
2,400000000,3.225655
3,400000000,2.155503
4,400000000,1.628073